shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
BLUE,39.51663477,-84.73591805,1,0
BLUE,39.51504978,-84.73608971,2,0.176858
BLUE,39.51501667,-84.73465204,3,0.300239
BLUE,39.51039804,-84.73471642,4,0.813837
BLUE,39.51036493,-84.73066092,5,1.16177
BLUE,39.50627577,-84.73070383,6,1.61648
BLUE,39.50615988,-84.72973824,7,1.70032
BLUE,39.5062261,-84.72819328,8,1.83307
BLUE,39.50604399,-84.72742081,9,1.90236
BLUE,39.50514997,-84.72645521,10,2.03177
BLUE,39.50493474,-84.72636938,11,2.05681
BLUE,39.50438839,-84.72602606,12,2.12432
BLUE,39.50372614,-84.72596169,13,2.19817
BLUE,39.50342812,-84.7258544,14,2.23256
BLUE,39.50084527,-84.72609043,15,2.52047
BLUE,39.50074592,-84.72619772,16,2.53485
BLUE,39.50077904,-84.72639084,17,2.55183
BLUE,39.50102739,-84.72731352,18,2.63567
BLUE,39.50104395,-84.72754955,19,2.65601
BLUE,39.50101084,-84.72787142,20,2.68387
BLUE,39.50107706,-84.72815037,21,2.70891
BLUE,39.50167311,-84.72903013,22,2.80936
BLUE,39.50162344,-84.72930908,23,2.83392
BLUE,39.50139165,-84.72984552,24,2.88667
BLUE,39.5014082,-84.73081112,25,2.96954
BLUE,39.50041478,-84.73066092,26,3.08075
BLUE,39.50046445,-84.73317146,27,3.29623
BLUE,39.50730222,-84.73302126,28,4.05666
BLUE,39.50731878,-84.73619699,29,4.32912
BLUE,39.50049757,-84.7363472,30,5.08772
BLUE,39.50067969,-84.74267721,31,5.63121
BLUE,39.51158997,-84.74246264,32,6.84452
BLUE,39.51165619,-84.74559546,33,7.11337
BLUE,39.51518221,-84.74563837,34,7.50546
BLUE,39.51519876,-84.7437501,35,7.66745
BLUE,39.51509944,-84.74233389,36,7.78944
BLUE,39.51504978,-84.73608971,37,8.32511
BLUE,39.51663477,-84.73591805,38,8.50196
ORANGE,39.50653238,-84.72162724,1,0
ORANGE,39.50769127,-84.72147703,2,0.129505
ORANGE,39.50772025,-84.72911596,3,0.784867
ORANGE,39.50787338,-84.72909987,4,0.80195
ORANGE,39.50791891,-84.72893357,5,0.817089
ORANGE,39.50792305,-84.72781241,6,0.913275
ORANGE,39.51030698,-84.7277534,7,1.17841
ORANGE,39.51034009,-84.73061264,8,1.42372
ORANGE,39.50627577,-84.73070383,9,1.87572
ORANGE,39.50615988,-84.72973824,10,1.95956
ORANGE,39.5062261,-84.72819328,11,2.09231
ORANGE,39.50604399,-84.72742081,12,2.16161
ORANGE,39.50514997,-84.72645521,13,2.29101
ORANGE,39.50493474,-84.72636938,14,2.31605
ORANGE,39.50438839,-84.72602606,15,2.38357
ORANGE,39.50372614,-84.72596169,16,2.45741
ORANGE,39.50342812,-84.7258544,17,2.4918
ORANGE,39.50084527,-84.72609043,18,2.77972
ORANGE,39.50074592,-84.72619772,19,2.7941
ORANGE,39.50077904,-84.72639084,20,2.81107
ORANGE,39.50102739,-84.72731352,21,2.89491
ORANGE,39.50104395,-84.72754955,22,2.91525
ORANGE,39.50101084,-84.72787142,23,2.94311
ORANGE,39.50107706,-84.72815037,24,2.96815
ORANGE,39.50167311,-84.72903013,25,3.0686
ORANGE,39.50162344,-84.72930908,26,3.09316
ORANGE,39.50139165,-84.72984552,27,3.14592
ORANGE,39.5014082,-84.73081112,28,3.22878
ORANGE,39.50041478,-84.73066092,29,3.34
ORANGE,39.50046445,-84.73317146,30,3.55547
ORANGE,39.50730222,-84.73302126,31,4.31591
ORANGE,39.50731878,-84.73619699,32,4.58837
ORANGE,39.50049757,-84.7363472,33,5.34696
ORANGE,39.50046445,-84.73317146,34,5.61946
ORANGE,39.50041478,-84.73066092,35,5.83494
