trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
BLUE1_1,7:00:00,7:00:00,Millet,1,,0,0,0
BLUE1_1,7:02:00,7:02:00,TallawandaSycamore,2,,0,0,0.566798
BLUE1_1,7:03:00,7:03:00,TallawandaChurch,3,,0,0,0.850196
BLUE1_1,7:04:00,7:04:00,Laws,4,,0,0,1.1336
BLUE1_1,7:08:00,7:08:00,Bachelor,5,,0,0,2.26719
BLUE1_1,7:09:00,7:09:00,Havighurst,6,,0,0,2.55059
BLUE1_1,7:10:00,7:10:00,Clawson,7,,0,0,2.83399
BLUE1_1,7:11:00,7:11:00,Peabody,8,,0,0,3.11739
BLUE1_1,7:12:00,7:12:00,ArtMuseum,9,,0,0,3.40079
BLUE1_1,7:14:00,7:14:00,Morris,10,,0,0,3.96758
BLUE1_1,7:15:00,7:20:00,MapleShriver,11,,0,0,4.25098
BLUE1_1,7:22:00,7:22:00,Williams,12,,0,0,4.81778
BLUE1_1,7:23:00,7:23:00,Phillips,13,,0,0,5.10118
BLUE1_1,7:24:00,7:24:00,REC,14,,0,0,5.38458
BLUE1_1,7:25:00,7:25:00,CampusChestnut,15,,0,0,5.66798
BLUE1_1,7:27:00,7:27:00,MainCentral,16,,0,0,6.23477
BLUE1_1,7:28:00,7:28:00,MainWooster,17,,0,0,6.51817
BLUE1_1,7:29:00,7:29:00,HighMain,18,,0,0,6.80157
BLUE1_1,7:31:00,7:31:00,CollegeWithrow,19,,0,0,7.36837
BLUE1_1,7:32:00,7:32:00,CollegeSycamore,20,,0,0,7.65177
BLUE1_1,7:34:00,7:34:00,SycamorePoplar,21,,0,0,8.21857
BLUE1_1,7:35:00,7:35:00,SycamoreUniversity,22,,0,0,8.50196
BLUE1_2,7:35:00,7:40:00,Millet,1,,0,0,0
BLUE1_2,7:42:00,7:42:00,TallawandaSycamore,2,,0,0,0.566798
BLUE1_2,7:43:00,7:43:00,TallawandaChurch,3,,0,0,0.850196
BLUE1_2,7:44:00,7:44:00,Laws,4,,0,0,1.1336
BLUE1_2,7:48:00,7:48:00,Bachelor,5,,0,0,2.26719
BLUE1_2,7:49:00,7:49:00,Havighurst,6,,0,0,2.55059
BLUE1_2,7:50:00,7:50:00,Clawson,7,,0,0,2.83399
BLUE1_2,7:51:00,7:51:00,Peabody,8,,0,0,3.11739
BLUE1_2,7:52:00,7:52:00,ArtMuseum,9,,0,0,3.40079
BLUE1_2,7:54:00,7:54:00,Morris,10,,0,0,3.96758
BLUE1_2,7:55:00,8:00:00,MapleShriver,11,,0,0,4.25098
BLUE1_2,8:02:00,8:02:00,Williams,12,,0,0,4.81778
BLUE1_2,8:03:00,8:03:00,Phillips,13,,0,0,5.10118
BLUE1_2,8:04:00,8:04:00,REC,14,,0,0,5.38458
BLUE1_2,8:05:00,8:05:00,CampusChestnut,15,,0,0,5.66798
BLUE1_2,8:07:00,8:07:00,MainCentral,16,,0,0,6.23477
BLUE1_2,8:08:00,8:08:00,MainWooster,17,,0,0,6.51817
BLUE1_2,8:09:00,8:09:00,HighMain,18,,0,0,6.80157
BLUE1_2,8:11:00,8:11:00,CollegeWithrow,19,,0,0,7.36837
BLUE1_2,8:12:00,8:12:00,CollegeSycamore,20,,0,0,7.65177
BLUE1_2,8:14:00,8:14:00,SycamorePoplar,21,,0,0,8.21857
BLUE1_2,8:15:00,8:15:00,SycamoreUniversity,22,,0,0,8.50196
BLUE1_3,8:15:00,8:20:00,Millet,1,,0,0,0
BLUE1_3,8:22:00,8:22:00,TallawandaSycamore,2,,0,0,0.566798
BLUE1_3,8:23:00,8:23:00,TallawandaChurch,3,,0,0,0.850196
BLUE1_3,8:24:00,8:24:00,Laws,4,,0,0,1.1336
BLUE1_3,8:28:00,8:28:00,Bachelor,5,,0,0,2.26719
BLUE1_3,8:29:00,8:29:00,Havighurst,6,,0,0,2.55059
BLUE1_3,8:30:00,8:30:00,Clawson,7,,0,0,2.83399
BLUE1_3,8:31:00,8:31:00,Peabody,8,,0,0,3.11739
BLUE1_3,8:32:00,8:32:00,ArtMuseum,9,,0,0,3.40079
BLUE1_3,8:34:00,8:34:00,Morris,10,,0,0,3.96758
BLUE1_3,8:35:00,8:40:00,MapleShriver,11,,0,0,4.25098
BLUE1_3,8:42:00,8:42:00,Williams,12,,0,0,4.81778
BLUE1_3,8:43:00,8:43:00,Phillips,13,,0,0,5.10118
BLUE1_3,8:44:00,8:44:00,REC,14,,0,0,5.38458
BLUE1_3,8:45:00,8:45:00,CampusChestnut,15,,0,0,5.66798
BLUE1_3,8:47:00,8:47:00,MainCentral,16,,0,0,6.23477
